ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/78616,"Alexander, Franz, 1891-1964",http://n2t.net/ark:/99166/w6bg3d6j,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78616
/agents/people/87007,"Alexander, John White, 1856-1915",http://n2t.net/ark:/99166/w6tm8dk3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87007
/agents/people/86626,"Alexander, Magnus W. (Magnus Washington), 1870-1932",http://n2t.net/ark:/99166/w6bg39vt,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86626
/agents/people/56305,"Alexander, Michael J.",http://n2t.net/ark:/99166/w6kt9gk6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/56305
/agents/people/78199,"Alexander, Michael, 1941-",http://n2t.net/ark:/99166/w64s2pcz,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78199
/agents/people/81843,"Alexander, Pope, VII, 1599-1667",http://n2t.net/ark:/99166/w60863wr,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/81843
/agents/people/88994,"Aley, Ruth",http://n2t.net/ark:/99166/w6p88fbp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88994
/agents/people/57774,"Alfange, Dean, 1897-1989",http://n2t.net/ark:/99166/w6rb7vgc,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57774
/agents/people/61321,"Alfieri, Pietro, 1801-1863",http://n2t.net/ark:/99166/w6mk6zp3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/61321
/agents/people/73796,"Alger, William Rounseville, 1822-1905",http://n2t.net/ark:/99166/w6833vmw,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73796
/agents/people/60993,"Alison, William Pulteney, 1790-1859",http://n2t.net/ark:/99166/w6424j71,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60993
/agents/people/85979,"Alito, Samuel A., Jr., 1950-",http://n2t.net/ark:/99166/w6z19d6x,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/85979
/agents/people/81549,"Allan, John, 1777-1863",http://n2t.net/ark:/99166/w6rg3q3n,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/81549
/agents/people/62320,"Allegri, Gregorio, 1582-1652",http://n2t.net/ark:/99166/w6kk9jm2,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/62320
/agents/people/89921,"Allen, Austin, 1984-",http://n2t.net/ark:/99166/w6vq3n6h,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/89921
/agents/people/87566,"Allen, Charles, 1827-1913",http://n2t.net/ark:/99166/w6r21mwt,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87566
/agents/people/88131,"Allen, Devere, 1891-1955",http://n2t.net/ark:/99166/w6668hx3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88131
